"aɪ"	"V"	"VV"
"be.sɔn"	"CV.CVC"	"CV.CVC"
"be.su.heɪ"	"CV.CV.CV"	"CV.CV.CVV"
"be.taɪ"	"CV.CV"	"CV.CVV"
"be.taɪ.nɪm.pʊr"	"CV.CV.CVC.CVC"	"CV.CVV.CVC.CVC"
"bi.ban"	"CV.CVC"	"CV.CVC"
"bi.da.mi.ha.na.jə"	"CV.CV.CV.CV.CV.CV"	"CV.CV.CV.CV.CV.CV"
"bi.dan"	"CV.CVC"	"CV.CVC"
"bi.dɪs"	"CV.CVC"	"CV.CVC"
"bi.han"	"CV.CVC"	"CV.CVC"
"bi.haːn"	"CV.CVC"	"CV.CVVC"
"bi.ha.nɔ.ji.su"	"CV.CV.CV.CV.CV"	"CV.CV.CV.CV.CV"
"bi.hɛŋ.ɔn"	"CV.CVC.VC"	"CV.CVC.VC"
"bi.ka"	"CV.CV"	"CV.CV"
"bi.ka.tu"	"CV.CV.CV"	"CV.CV.CV"
"bi.lɪŋ"	"CV.CVC"	"CV.CVC"
"bi.ma"	"CV.CV"	"CV.CV"
"bi.ma.kaŋ.an"	"CV.CV.CVC.VC"	"CV.CV.CVC.VC"
"bi.man"	"CV.CVC"	"CV.CVC"
"bi.mɪŋ"	"CV.CVC"	"CV.CVC"
"bi.nam.pa.daŋ"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"bi.ni.saːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"bi.no"	"CV.CV"	"CV.CV"
"bi.ra.taɪ"	"CV.CV.CV"	"CV.CV.CVV"
"bi.rɛn"	"CV.CVC"	"CV.CVC"
"bi.rɛn.jaːn"	"CV.CVC.CVC"	"CV.CVC.CVVC"
"bi.sa.ja"	"CV.CV.CV"	"CV.CV.CV"
"bi.san"	"CV.CVC"	"CV.CVC"
"bi.swaɪ"	"CV.CCV"	"CV.CCVV"
"bi.ta"	"CV.CV"	"CV.CV"
"bi.to.gaɪ"	"CV.CV.CV"	"CV.CV.CVV"
"bi.twaɪ"	"CV.CCV"	"CV.CCVV"
"bo.man"	"CV.CVC"	"CV.CVC"
"bo.naɪ"	"CV.CV"	"CV.CVV"
"bra.gaɪ"	"CCV.CV"	"CCV.CVV"
"bra.jan"	"CCV.CVC"	"CCV.CVC"
"bran"	"CCVC"	"CCVC"
"bra.san"	"CCV.CVC"	"CCV.CVC"
"bra.saŋ"	"CCV.CVC"	"CCV.CVC"
"bri.ha"	"CCV.CV"	"CCV.CV"
"bu.daŋ"	"CV.CVC"	"CV.CVC"
"bu.kan"	"CV.CVC"	"CV.CVC"
"bu.ko.ja"	"CV.CV.CV"	"CV.CV.CV"
"bu.ku.no"	"CV.CV.CV"	"CV.CV.CV"
"bu.lan"	"CV.CVC"	"CV.CVC"
"bu.nas"	"CV.CVC"	"CV.CVC"
"bu.raŋ"	"CV.CVC"	"CV.CVC"
"bu.raŋ.wi.na"	"CV.CVC.CV.CV"	"CV.CVC.CV.CV"
"bu.taːn"	"CV.CVC"	"CV.CVVC"
"bwan.taɪ"	"CCVC.CV"	"CCVC.CVV"
"dʒa"	"CV"	"CCV"
"da.bas"	"CV.CVC"	"CV.CVC"
"da.daːn"	"CV.CVC"	"CV.CVVC"
"da.daŋ"	"CV.CVC"	"CV.CVC"
"da.ga"	"CV.CV"	"CV.CV"
"da.gaɪ"	"CV.CV"	"CV.CVV"
"da.ga.mɪn.dɔɪ"	"CV.CV.CVC.CV"	"CV.CV.CVC.CVV"
"da.gaŋ"	"CV.CVC"	"CV.CVC"
"da.haɪ"	"CV.CV"	"CV.CVV"
"da.ha.pa.ma.ja"	"CV.CV.CV.CV.CV"	"CV.CV.CV.CV.CV"
"da.ha.pan"	"CV.CV.CVC"	"CV.CV.CVC"
"da.ha.pa.va.ja"	"CV.CV.CV.CV.CV"	"CV.CV.CV.CV.CV"
"da.has"	"CV.CVC"	"CV.CVC"
"da.ja.no"	"CV.CV.CV"	"CV.CV.CV"
"da.jʊŋ"	"CV.CVC"	"CV.CVC"
"da.kaɪ"	"CV.CV"	"CV.CVV"
"da.lam"	"CV.CVC"	"CV.CVC"
"da.lam.pa.sɪŋ"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"da.laŋ"	"CV.CVC"	"CV.CVC"
"da.ma.jan"	"CV.CV.CVC"	"CV.CV.CVC"
"da.mas"	"CV.CVC"	"CV.CVC"
"dam.ba.haːn"	"CVC.CV.CVC"	"CVC.CV.CVVC"
"dam.paŋ.ɪs"	"CVC.CVC.VC"	"CVC.CVC.VC"
"dam.pran.tan"	"CVC.CCVC.CVC"	"CVC.CCVC.CVC"
"dan"	"CVC"	"CVC"
"dʒaːn"	"CVC"	"CCVVC"
"da.na.raːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"da.naːr.ja"	"CV.CVC.CV"	"CV.CVVC.CV"
"dan.dan"	"CVC.CVC"	"CVC.CVC"
"daŋ"	"CVC"	"CVC"
"daŋ.a.ran"	"CVC.V.CVC"	"CVC.V.CVC"
"daŋ.kaɪ.vo"	"CVC.CV.CV"	"CVC.CVV.CV"
"daŋ.ke.baɪ"	"CVC.CV.CV"	"CVC.CV.CVV"
"daŋ.ke.baːn"	"CVC.CV.CVC"	"CVC.CV.CVVC"
"daŋ.u.ma.ja"	"CVC.V.CV.CV"	"CVC.V.CV.CV"
"dan.ja"	"CVC.CV"	"CVC.CV"
"dʒaːn.jam"	"CVC.CVC"	"CCVVC.CVC"
"da.no"	"CV.CV"	"CV.CV"
"dan.sɪn.daɪ"	"CVC.CVC.CV"	"CVC.CVC.CVV"
"da.pal"	"CV.CVC"	"CV.CVC"
"da.par"	"CV.CVC"	"CV.CVC"
"da.ram"	"CV.CVC"	"CV.CVC"
"dʒa.ran"	"CV.CVC"	"CCV.CVC"
"da.ran"	"CV.CVC"	"CV.CVC"
"da.ran.de.vo"	"CV.CVC.CV.CV"	"CV.CVC.CV.CV"
"dʒar.ma.ja"	"CVC.CV.CV"	"CCVC.CV.CV"
"daɪ.rɪn"	"CV.CVC"	"CVV.CVC"
"da.su"	"CV.CV"	"CV.CV"
"da.taʊ"	"CV.CV"	"CV.CVV"
"da.taʊ.ja"	"CV.CV.CV"	"CV.CVV.CV"
"da.va.no"	"CV.CV.CV"	"CV.CV.CV"
"de.baŋ"	"CV.CVC"	"CV.CVC"
"de.baŋ.a.ja"	"CV.CVC.V.CV"	"CV.CVC.V.CV"
"de.dɛm"	"CV.CVC"	"CV.CVC"
"de.de.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"de.keɪ"	"CV.CV"	"CV.CVV"
"de.laŋ"	"CV.CVC"	"CV.CVC"
"de.ma"	"CV.CV"	"CV.CV"
"dɛm.baɪ"	"CVC.CV"	"CVC.CVV"
"de.mɪŋ"	"CV.CVC"	"CV.CVC"
"de.nan"	"CV.CVC"	"CV.CVC"
"dɛŋ"	"CVC"	"CVC"
"dɛŋ.as"	"CVC.VC"	"CVC.VC"
"dɛŋ.a.san"	"CVC.V.CVC"	"CVC.V.CVC"
"de.ni.sa"	"CV.CV.CV"	"CV.CV.CV"
"de.paŋ"	"CV.CVC"	"CV.CVC"
"de.ram"	"CV.CVC"	"CV.CVC"
"de.ram.jam"	"CV.CVC.CVC"	"CV.CVC.CVC"
"de.saɪ"	"CV.CV"	"CV.CVV"
"de.san"	"CV.CVC"	"CV.CVC"
"de.sɛŋ"	"CV.CVC"	"CV.CVC"
"de.van"	"CV.CVC"	"CV.CVC"
"de.vɛŋ"	"CV.CVC"	"CV.CVC"
"de.vɛn.ta.haːn"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVVC"
"de.vi.su"	"CV.CV.CV"	"CV.CV.CV"
"de.vo"	"CV.CV"	"CV.CV"
"di.di"	"CV.CV"	"CV.CV"
"di.gam"	"CV.CVC"	"CV.CVC"
"di.ha.ka.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"di.jam"	"CV.CVC"	"CV.CVC"
"di.jan"	"CV.CVC"	"CV.CVC"
"di.ja.tan"	"CV.CV.CVC"	"CV.CV.CVC"
"di.kʊɪ"	"CV.CV"	"CV.CVV"
"di.kaɪ"	"CV.CV"	"CV.CVV"
"di.kam"	"CV.CVC"	"CV.CVC"
"di.kaŋ"	"CV.CVC"	"CV.CVC"
"di.ka.pi.sa"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"di.kʊn"	"CV.CVC"	"CV.CVC"
"di.kʊn.ta.rɪŋ"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"di.laːn"	"CV.CVC"	"CV.CVVC"
"di.lɛŋ"	"CV.CVC"	"CV.CVC"
"di.maɪ"	"CV.CV"	"CV.CVV"
"di.ma.rɔŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"di.naŋ"	"CV.CVC"	"CV.CVC"
"di.pa.kan"	"CV.CV.CVC"	"CV.CV.CVC"
"di.ran"	"CV.CVC"	"CV.CVC"
"di.ras"	"CV.CVC"	"CV.CVC"
"di.rʊn"	"CV.CVC"	"CV.CVC"
"di.rɪŋ"	"CV.CVC"	"CV.CVC"
"di.sa"	"CV.CV"	"CV.CV"
"di.seɪ"	"CV.CV"	"CV.CVV"
"di.si.maɪ"	"CV.CV.CV"	"CV.CV.CVV"
"di.su"	"CV.CV"	"CV.CV"
"di.ta.vaɪ"	"CV.CV.CV"	"CV.CV.CVV"
"di.ti.nan"	"CV.CV.CVC"	"CV.CV.CVC"
"di.tɪm.baɪ.taŋ"	"CV.CVC.CV.CVC"	"CV.CVC.CVV.CVC"
"di.to"	"CV.CV"	"CV.CV"
"di.van"	"CV.CVC"	"CV.CVC"
"do.ham"	"CV.CVC"	"CV.CVC"
"dɪs.jan"	"CVC.CVC"	"CVC.CVC"
"du.ga"	"CV.CV"	"CV.CV"
"du.gam"	"CV.CVC"	"CV.CVC"
"du.has"	"CV.CVC"	"CV.CVC"
"du.ram"	"CV.CVC"	"CV.CVC"
"du.ram.a.gan"	"CV.CVC.V.CVC"	"CV.CVC.V.CVC"
"du.ra.pan"	"CV.CV.CVC"	"CV.CV.CVC"
"du.ra.pu"	"CV.CV.CV"	"CV.CV.CV"
"du.rɪŋ"	"CV.CVC"	"CV.CVC"
"e.da.ja"	"V.CV.CV"	"V.CV.CV"
"e.da.jal"	"V.CV.CVC"	"V.CV.CVC"
"e.dan.ja"	"V.CVC.CV"	"V.CVC.CV"
"e.daː.rə"	"V.CV.CV"	"V.CVV.CV"
"e.da.ta.da.jam"	"V.CV.CV.CV.CVC"	"V.CV.CV.CV.CVC"
"e.da.wi"	"V.CV.CV"	"V.CV.CV"
"e.da.wi.kan"	"V.CV.CV.CVC"	"V.CV.CV.CVC"
"e.hɛn"	"V.CVC"	"V.CVC"
"e.he.nan"	"V.CV.CVC"	"V.CV.CVC"
"e.kɛŋ"	"V.CVC"	"V.CVC"
"ɛn.ja"	"VC.CV"	"VC.CV"
"e.nɔn"	"V.CVC"	"V.CVC"
"ɛn.taːn"	"VC.CVC"	"VC.CVVC"
"ɛn.van"	"VC.CVC"	"VC.CVC"
"e.paːn"	"V.CVC"	"V.CVVC"
"e.paŋ"	"V.CVC"	"V.CVC"
"eɪ.ra"	"V.CV"	"VV.CV"
"eɪ.ran"	"V.CVC"	"VV.CVC"
"e.rar"	"V.CVC"	"V.CVC"
"eɪ.rar.ja"	"V.CVC.CV"	"VV.CVC.CV"
"eɪ.rɛŋ"	"V.CVC"	"VV.CVC"
"e.ri.ma.ja"	"V.CV.CV.CV"	"V.CV.CV.CV"
"ɛr.kan"	"VC.CVC"	"VC.CVC"
"ɛr.ki.no"	"VC.CV.CV"	"VC.CV.CV"
"ɛr.pu"	"VC.CV"	"VC.CV"
"ɛr.san"	"VC.CVC"	"VC.CVC"
"eɪ.saŋ"	"V.CVC"	"VV.CVC"
"e.te.ko"	"V.CV.CV"	"V.CV.CV"
"ga.ba.no"	"CV.CV.CV"	"CV.CV.CV"
"ga.da"	"CV.CV"	"CV.CV"
"ga.haːn"	"CV.CVC"	"CV.CVVC"
"ga.laɪ"	"CV.CV"	"CV.CVV"
"ga.li"	"CV.CV"	"CV.CV"
"ga.li.me.hɪr"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"gan"	"CVC"	"CVC"
"ga.nɛŋ.an"	"CV.CVC.VC"	"CV.CVC.VC"
"gaŋ"	"CVC"	"CVC"
"gan.gan"	"CVC.CVC"	"CVC.CVC"
"gan.leː.ra"	"CVC.CV.CV"	"CVC.CVV.CV"
"gan.va.ja"	"CVC.CV.CV"	"CVC.CV.CV"
"ga.ran"	"CV.CVC"	"CV.CVC"
"ga.ra.naŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"ga.rɛŋ"	"CV.CVC"	"CV.CVC"
"ga.ri.kan"	"CV.CV.CVC"	"CV.CV.CVC"
"ga.taŋ"	"CV.CVC"	"CV.CVC"
"ge.bi.san"	"CV.CV.CVC"	"CV.CV.CVC"
"ge.ka"	"CV.CV"	"CV.CV"
"ge.va.rɪm"	"CV.CV.CVC"	"CV.CV.CVC"
"gi.ba"	"CV.CV"	"CV.CV"
"gi.daɪ"	"CV.CV"	"CV.CVV"
"gi.nam"	"CV.CVC"	"CV.CVC"
"gi.no"	"CV.CV"	"CV.CV"
"gi.ra"	"CV.CV"	"CV.CV"
"gi.raːn"	"CV.CVC"	"CV.CVVC"
"gi.ro"	"CV.CV"	"CV.CV"
"gi.su"	"CV.CV"	"CV.CV"
"gi.tan"	"CV.CVC"	"CV.CVC"
"gɪm.baɪ"	"CVC.CV"	"CVC.CVV"
"gʊm.kaɪ"	"CVC.CV"	"CVC.CVV"
"gɪn"	"CVC"	"CVC"
"gɪn.da.ti"	"CVC.CV.CV"	"CVC.CV.CV"
"gɪn.di"	"CVC.CV"	"CVC.CV"
"gɪ.no"	"CV.CV"	"CV.CV"
"go.sa.man"	"CV.CV.CVC"	"CV.CV.CVC"
"grɛn.jam"	"CCVC.CVC"	"CCVC.CVC"
"grɛn.ja.mɔɪ"	"CCVC.CV.CV"	"CCVC.CV.CVV"
"gu.jam"	"CV.CVC"	"CV.CVC"
"gu.maŋ.a"	"CV.CVC.V"	"CV.CVC.V"
"gu.ma.raŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"gu.mo"	"CV.CV"	"CV.CV"
"gu.ran"	"CV.CVC"	"CV.CVC"
"gu.ra.sam"	"CV.CV.CVC"	"CV.CV.CVC"
"gu.ra.tan"	"CV.CV.CVC"	"CV.CV.CVC"
"gu.ri.tʃan"	"CV.CV.CVC"	"CV.CV.CCVC"
"gʊr.jan"	"CVC.CVC"	"CVC.CVC"
"haɪ"	"CV"	"CVV"
"ha.ba"	"CV.CV"	"CV.CV"
"ha.bas"	"CV.CVC"	"CV.CVC"
"ha.daɪ"	"CV.CV"	"CV.CVV"
"ha.gi.naŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"ha.gɪn"	"CV.CVC"	"CV.CVC"
"ha.kas"	"CV.CVC"	"CV.CVC"
"ha.kɪs"	"CV.CVC"	"CV.CVC"
"ha.la"	"CV.CV"	"CV.CV"
"ha.lɪŋ"	"CV.CVC"	"CV.CVC"
"ha.lɪŋ.an"	"CV.CVC.VC"	"CV.CVC.VC"
"ha.ma"	"CV.CV"	"CV.CV"
"ham.baɪ.taŋ"	"CVC.CV.CVC"	"CVC.CVV.CVC"
"ham.paŋ.an"	"CVC.CVC.VC"	"CVC.CVC.VC"
"haŋ.an"	"CVC.VC"	"CVC.VC"
"haŋ.ar.ja"	"CVC.VC.CV"	"CVC.VC.CV"
"ha.ni"	"CV.CV"	"CV.CV"
"han.wan"	"CVC.CVC"	"CVC.CVC"
"ha.pa"	"CV.CV"	"CV.CV"
"ha.paŋ"	"CV.CVC"	"CV.CVC"
"ha.pi"	"CV.CV"	"CV.CV"
"ha.ra"	"CV.CV"	"CV.CV"
"ha.raːn"	"CV.CVC"	"CV.CVVC"
"ha.ri"	"CV.CV"	"CV.CV"
"ha.ru"	"CV.CV"	"CV.CV"
"ha.sa"	"CV.CV"	"CV.CV"
"ha.san"	"CV.CVC"	"CV.CVC"
"ha.saŋ"	"CV.CVC"	"CV.CVC"
"ha.taɪ"	"CV.CV"	"CV.CVV"
"ha.ti"	"CV.CV"	"CV.CV"
"he.lan"	"CV.CVC"	"CV.CVC"
"he.ma"	"CV.CV"	"CV.CV"
"he.ma.jə"	"CV.CV.CV"	"CV.CV.CV"
"hɛn"	"CVC"	"CVC"
"he.nan"	"CV.CVC"	"CV.CVC"
"he.nan.jam"	"CV.CVC.CVC"	"CV.CVC.CVC"
"hɛŋ.as"	"CVC.VC"	"CVC.VC"
"heɪ.nɔn"	"CV.CVC"	"CVV.CVC"
"he.vɛn"	"CV.CVC"	"CV.CVC"
"hi.ka.mu"	"CV.CV.CV"	"CV.CV.CV"
"hi.tʃan"	"CV.CVC"	"CV.CCVC"
"hi.naŋ"	"CV.CVC"	"CV.CVC"
"hi.ro"	"CV.CV"	"CV.CV"
"hɪn"	"CVC"	"CVC"
"hɪn.ja"	"CVC.CV"	"CVC.CV"
"hɪn.jan"	"CVC.CVC"	"CVC.CVC"
"ho.go"	"CV.CV"	"CV.CV"
"ho.ra"	"CV.CV"	"CV.CV"
"ho.ra.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ho.ru"	"CV.CV"	"CV.CV"
"i.ban"	"V.CVC"	"V.CVC"
"i.baŋ"	"V.CVC"	"V.CVC"
"i.bu.ta.ja"	"V.CV.CV.CV"	"V.CV.CV.CV"
"i.dam.pa"	"V.CVC.CV"	"V.CVC.CV"
"i.dʒan"	"V.CVC"	"V.CCVC"
"i.dʒaːn"	"V.CVC"	"V.CCVVC"
"i.das"	"V.CVC"	"V.CVC"
